Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
423,Antonio Reeves,Projected,6.2,13.5,2.7,6.7,1.7,2.2,1.1,4.1,2.5,1.2,0.3,1.7,2.3,16.9,.464,.395,.798,reevean01
424,Naz Reid,Projected,7.2,15.2,2.9,7.3,2.0,2.6,1.5,7.9,2.7,1.0,1.2,1.9,3.2,19.3,.475,.390,.759,reidna01
425,Jared Rhoden,Projected,6.0,12.4,1.8,5.4,2.5,3.0,1.6,6.3,2.8,1.2,0.8,1.5,3.3,16.2,.482,.340,.829,rhodeja01
426,Nick Richards,Projected,5.7,9.3,0.1,0.4,3.2,4.2,3.8,12.0,1.4,0.5,1.5,2.0,3.8,14.7,.612,.333,.744,richani01
427,Josh Richardson,Projected,5.0,11.7,2.1,6.1,1.7,1.9,0.9,4.2,3.5,1.2,0.5,1.6,2.8,13.7,.426,.342,.885,richajo01
428,Zaccharie Risacher,Projected,7.1,15.0,2.4,6.6,2.2,3.0,1.7,5.5,2.0,1.1,0.7,1.8,2.8,18.9,.475,.370,.730,risacza01
429,Liam Robbins,Projected,5.0,11.2,1.5,4.5,2.7,4.0,2.4,6.9,3.3,1.2,0.9,2.5,3.5,14.2,.446,.338,.671,robbili01
430,Duncan Robinson,Projected,5.8,13.1,3.6,9.3,1.2,1.4,0.4,3.5,3.5,0.8,0.2,1.8,2.9,16.3,.438,.388,.874,robindu01
431,Mitchell Robinson,Projected,4.4,7.4,0.3,0.8,1.6,2.9,5.7,11.6,1.6,1.6,1.9,1.3,3.0,10.6,.590,.365,.554,robinmi01
432,Orlando Robinson,Projected,5.4,11.6,1.0,2.7,2.5,3.2,3.7,9.8,3.7,0.9,0.8,2.2,4.3,14.2,.463,.357,.772,robinor01
433,Jeremiah Robinson-Earl,Projected,4.9,10.5,1.7,4.8,1.5,1.8,3.0,8.8,2.6,1.1,0.3,1.5,2.4,12.9,.464,.347,.821,robinje02
434,David Roddy,Projected,5.3,12.0,1.7,5.3,1.7,2.3,1.5,6.7,2.7,1.0,0.6,1.8,2.2,13.9,.439,.316,.730,roddyda01
435,Ryan Rollins,Projected,6.0,12.1,2.1,5.2,2.0,2.4,1.1,5.2,4.6,1.9,0.8,2.4,3.6,16.1,.494,.414,.800,rolliry01
436,Jackson Rowe,Projected,6.0,12.9,2.0,5.9,2.4,3.4,1.8,6.8,3.7,1.6,0.6,1.8,2.8,16.5,.467,.343,.699,roweja01
437,Terry Rozier,Projected,6.5,15.6,2.3,7.0,2.4,2.9,0.9,4.8,4.6,1.0,0.3,1.8,1.8,17.6,.413,.322,.847,roziete01
438,Rayan Rupert,Projected,4.5,10.8,1.5,4.7,1.7,2.2,1.8,5.7,2.9,1.1,0.3,2.0,2.9,12.2,.415,.330,.779,ruperra01
439,D'Angelo Russell,Projected,6.6,15.4,2.9,8.1,2.7,3.2,0.5,3.8,6.9,1.2,0.5,2.5,2.5,18.7,.427,.361,.828,russeda01
440,Matt Ryan,Projected,5.2,12.5,3.0,7.7,1.6,2.0,0.8,4.7,2.5,0.8,0.3,1.7,2.6,15.2,.421,.395,.842,ryanma01
441,Domantas Sabonis,Projected,7.7,13.1,0.8,1.9,3.4,4.7,3.7,13.7,6.9,0.8,0.5,3.1,3.3,19.6,.588,.402,.735,sabondo01
442,Tidjane Salaün,Projected,3.8,10.3,1.8,5.8,2.1,2.8,2.0,8.2,2.4,0.9,0.5,1.7,2.4,11.4,.366,.305,.736,salauti01
443,Adama Sanogo,Projected,6.7,13.4,1.5,4.0,2.6,3.5,3.7,9.0,3.2,1.0,0.6,2.1,2.6,17.4,.498,.372,.757,sanogad01
444,Gui Santos,Projected,4.5,9.4,1.7,5.0,1.7,2.3,3.2,8.1,3.8,1.2,0.5,1.9,4.0,12.4,.476,.349,.752,santogu01
445,Dario Šarić,Projected,5.5,12.2,2.0,5.7,2.3,2.9,2.3,8.6,4.2,1.1,0.4,2.5,3.6,15.3,.447,.357,.815,saricda01
446,Alex Sarr,Projected,6.7,16.1,2.1,6.6,2.3,3.3,2.5,8.7,3.4,0.9,2.0,2.2,2.8,17.8,.414,.326,.700,sarral01
447,Marcus Sasser,Projected,6.1,13.3,2.5,6.5,1.8,2.2,0.7,3.6,5.9,1.4,0.3,2.3,2.9,16.5,.455,.383,.848,sassema01
448,Baylor Scheierman,Projected,4.5,11.2,2.3,7.0,1.4,1.8,1.8,6.3,3.4,1.5,0.4,1.4,2.3,12.7,.401,.333,.771,scheiba01
449,Dennis Schröder,Projected,5.7,13.7,2.0,5.8,3.0,3.5,0.5,3.5,6.6,1.0,0.2,2.3,2.8,16.3,.415,.348,.835,schrode01
450,Alperen Şengün,Projected,8.7,16.7,0.5,1.6,4.3,6.1,3.7,11.4,5.5,1.3,0.9,2.8,3.3,22.2,.520,.285,.704,sengual01
451,Brice Sensabaugh,Projected,6.8,14.6,3.6,8.6,1.9,2.1,1.1,5.7,3.0,1.1,0.3,2.6,2.7,18.9,.462,.414,.884,sensabr01
452,Collin Sexton,Projected,8.5,17.4,2.2,5.5,4.8,5.5,1.3,3.7,5.7,1.0,0.2,3.0,2.9,23.9,.485,.401,.858,sextoco01
453,Landry Shamet,Projected,5.4,12.1,2.8,7.4,1.3,1.6,0.7,3.4,2.2,1.1,0.3,1.3,2.9,14.8,.445,.376,.779,shamela01
454,Terrence Shannon Jr.,Projected,6.0,12.5,1.5,4.0,2.1,2.6,1.3,5.6,3.6,0.9,0.6,1.7,2.8,15.6,.483,.362,.802,shannte01
455,Day'Ron Sharpe,Projected,6.6,12.3,0.5,1.7,2.5,3.6,5.7,13.2,3.5,1.4,1.6,2.5,4.5,16.2,.538,.298,.702,sharpda01
456,Shaedon Sharpe,Projected,7.6,16.5,2.3,7.0,3.0,3.8,1.2,5.4,3.2,1.0,0.3,2.3,2.2,20.5,.459,.331,.796,sharpsh01
457,Jamal Shead,Projected,5.2,12.4,1.8,5.4,1.5,1.9,0.8,3.3,7.5,1.4,0.3,2.7,3.7,13.8,.421,.336,.777,sheadja01
458,Ben Sheppard,Projected,3.9,9.2,2.1,6.0,1.0,1.1,1.2,5.1,2.6,1.2,0.4,0.8,3.6,10.9,.427,.343,.864,sheppbe01
459,Reed Sheppard,Projected,5.1,13.1,2.6,7.3,1.1,1.4,1.1,4.9,4.2,1.8,0.9,2.0,2.8,13.9,.388,.354,.805,sheppre01
460,Pascal Siakam,Projected,8.7,16.8,1.5,4.2,3.5,4.8,1.9,7.5,4.2,0.9,0.5,1.8,2.7,22.4,.515,.369,.738,siakapa01
461,Ben Simmons,Projected,4.1,7.9,0.2,0.6,0.9,1.4,1.7,8.2,8.5,1.3,0.8,3.1,3.5,9.3,.522,.359,.660,simmobe01
462,Anfernee Simons,Projected,7.7,17.7,3.4,9.1,3.0,3.3,0.5,3.3,5.3,0.8,0.1,2.3,2.0,21.7,.434,.373,.900,simonan01
463,KJ Simpson,Projected,4.8,12.9,1.5,5.5,1.9,2.3,1.7,5.1,4.7,1.4,0.3,2.3,2.4,13.1,.376,.279,.817,simpskj01
464,Jaylen Sims,Projected,5.3,11.6,2.0,5.3,3.1,3.9,1.4,4.7,3.9,1.1,0.6,2.3,2.9,15.6,.457,.377,.791,simsja01
465,Jericho Sims,Projected,3.1,5.2,0.3,0.7,0.9,1.3,3.6,10.1,2.0,0.6,1.1,1.6,3.4,7.4,.602,.364,.697,simsje01
466,Marcus Smart,Projected,5.4,13.1,2.4,7.1,2.5,3.3,0.9,3.9,5.7,2.0,0.5,2.9,3.0,15.7,.412,.336,.760,smartma01
467,Dru Smith,Projected,4.8,10.0,2.0,4.6,1.5,2.0,1.6,5.3,3.6,2.2,0.8,2.0,3.6,13.2,.480,.440,.779,smithdr01
468,Jabari Smith Jr.,Projected,5.5,12.2,2.1,5.7,2.3,2.8,2.1,8.8,1.6,0.7,0.9,1.3,2.7,15.4,.453,.363,.821,smithja05
469,Jalen Smith,Projected,7.3,14.5,2.4,6.7,2.7,3.5,3.4,12.1,2.5,0.7,1.5,1.5,3.7,19.7,.506,.349,.770,smithja04
470,Nick Smith Jr.,Projected,6.0,14.6,2.8,7.6,1.2,1.3,0.6,3.8,3.8,0.5,0.3,2.0,2.2,16.0,.411,.371,.899,smithni01
471,Tolu Smith,Projected,6.7,13.5,1.8,4.9,2.6,3.4,2.3,7.4,3.5,1.1,0.7,2.2,3.0,17.9,.499,.366,.765,smithto05
472,Tyler Smith,Projected,6.8,13.9,2.9,6.9,2.3,2.9,1.8,7.1,2.9,1.1,0.9,2.2,2.9,18.7,.487,.413,.778,smithty02
473,Jeremy Sochan,Projected,6.3,12.7,1.0,3.1,2.2,2.9,2.8,8.6,3.8,1.1,0.7,2.2,3.1,15.8,.499,.319,.735,sochaje01
474,Cam Spencer,Projected,5.5,12.3,2.5,6.7,2.7,2.9,1.7,5.3,4.6,1.3,0.4,1.4,3.0,16.1,.443,.369,.905,spencca01
475,Pat Spencer,Projected,5.9,13.8,1.2,4.1,1.9,2.5,2.0,6.6,5.8,1.6,0.5,2.4,2.8,14.9,.429,.293,.756,spencpa01
476,Jaden Springer,Projected,4.4,10.4,1.2,4.4,2.6,3.4,1.9,6.0,3.4,2.2,0.7,1.9,4.0,12.7,.426,.278,.767,sprinja01
477,Isaiah Stevens,Projected,6.1,13.3,2.0,5.6,2.5,3.1,1.6,6.9,3.9,1.4,0.7,2.0,2.6,16.6,.459,.352,.784,steveis01
478,Lamar Stevens,Projected,6.1,13.4,1.3,4.1,2.2,2.9,1.7,7.6,2.1,1.2,0.9,1.6,2.9,15.7,.457,.320,.758,stevela01
479,Isaiah Stewart,Projected,4.7,9.1,1.0,2.8,1.8,2.4,2.8,9.3,2.7,0.7,1.9,1.7,3.7,12.3,.524,.361,.763,stewais01
480,Julian Strawther,Projected,5.6,13.0,2.5,7.1,1.9,2.4,0.5,4.1,2.5,1.1,0.5,1.5,3.7,15.7,.435,.349,.809,strawju01
481,Max Strus,Projected,4.9,11.4,2.9,8.0,1.1,1.4,1.2,5.6,4.2,0.9,0.4,1.6,2.8,13.8,.429,.366,.812,strusma01
482,Jalen Suggs,Projected,6.5,14.6,2.6,7.4,2.8,3.4,1.0,4.8,4.2,1.8,1.0,2.9,3.5,18.4,.444,.357,.822,suggsja01
483,Cole Swider,Projected,5.5,13.5,2.8,8.3,1.2,1.6,1.2,5.8,2.3,0.9,0.6,1.6,2.5,15.1,.410,.338,.749,swideco01
484,Jae'Sean Tate,Projected,4.4,9.4,1.0,3.1,1.7,2.4,2.5,6.9,2.9,1.5,0.5,1.5,4.7,11.6,.471,.329,.698,tateja01
485,Jayson Tatum,Projected,9.1,19.7,3.3,9.2,5.3,6.4,0.8,8.4,5.4,1.0,0.6,2.7,2.1,26.7,.461,.355,.825,tatumja01
486,Terry Taylor,Projected,5.3,10.9,1.2,3.7,1.8,2.3,2.5,6.7,3.1,1.0,0.6,1.7,3.0,13.6,.487,.337,.766,taylote01
487,Garrett Temple,Projected,4.0,10.8,1.4,5.0,2.0,2.4,1.6,5.3,4.1,1.9,0.5,1.8,3.4,11.5,.373,.287,.827,templga01
488,Dalen Terry,Projected,4.5,9.9,1.3,4.0,1.8,2.6,1.5,5.2,3.8,1.6,0.7,1.8,4.0,12.2,.459,.336,.702,terryda01
489,Daniel Theis,Projected,4.7,9.4,0.9,2.7,1.7,2.2,2.6,8.7,3.0,0.9,1.4,1.6,4.1,11.9,.493,.312,.789,theisda01
490,Cam Thomas,Projected,8.9,19.9,2.7,7.4,5.3,6.2,0.6,4.0,3.8,0.8,0.2,2.4,2.2,25.9,.450,.365,.868,thomaca02
491,Amen Thompson,Projected,6.4,11.5,0.5,1.7,2.8,4.0,3.3,9.5,4.3,1.7,1.3,2.2,2.9,16.0,.556,.270,.698,thompam01
492,Ausar Thompson,Projected,6.3,12.0,0.5,2.0,2.2,3.4,2.9,8.6,3.4,2.2,1.2,2.0,4.1,15.3,.523,.242,.648,thompau01
493,Klay Thompson,Projected,7.1,16.9,4.0,10.3,1.6,1.7,0.7,4.4,2.7,0.9,0.5,1.8,1.8,19.7,.417,.385,.897,thompkl01
494,Tristan Thompson,Projected,4.5,9.0,0.4,1.3,1.2,3.3,3.5,11.6,3.1,0.6,1.0,1.8,3.7,10.6,.495,.313,.364,thomptr01
495,JT Thor,Projected,4.2,9.3,1.3,3.9,1.4,2.1,2.1,6.7,1.7,0.9,1.1,1.2,2.6,11.1,.447,.342,.698,thorjt01
496,Matisse Thybulle,Projected,3.9,8.9,2.0,5.4,0.8,1.2,1.1,4.4,2.5,2.8,1.1,1.2,2.3,10.5,.435,.371,.669,thybuma01
497,Xavier Tillman Sr.,Projected,4.5,10.1,0.8,3.3,1.1,2.0,2.4,7.7,2.7,1.7,1.2,1.6,2.8,10.9,.441,.248,.580,tillmxa01
498,Drew Timme,Projected,6.4,14.0,1.6,5.2,1.9,2.7,2.1,8.3,3.3,0.8,0.4,2.1,2.9,16.2,.457,.306,.704,timmedr01
499,Nae'Qwan Tomlin,Projected,6.6,14.7,1.8,5.6,3.1,4.1,2.6,8.2,3.2,0.9,0.7,1.8,3.4,18.2,.452,.321,.762,tomlina01
500,Jacob Toppin,Projected,5.6,12.1,2.1,5.2,1.8,2.2,1.7,6.8,3.6,1.1,0.5,1.8,2.4,15.1,.464,.398,.798,toppija01
501,Obi Toppin,Projected,7.1,13.3,2.4,6.5,1.9,2.5,1.5,7.1,2.9,1.0,0.7,1.5,2.7,18.6,.535,.375,.780,toppiob01
502,Karl-Anthony Towns,Projected,8.8,17.0,2.1,5.2,4.6,5.5,2.6,11.6,3.3,0.9,0.7,2.9,3.6,24.3,.515,.412,.839,townska01
503,Armel Traoré,Projected,5.5,12.4,1.5,5.0,2.1,3.4,1.5,7.1,3.0,1.5,0.8,1.9,2.8,14.6,.441,.292,.632,armeltr01
504,Luke Travers,Projected,4.9,11.5,1.3,4.9,2.0,2.4,2.3,7.2,3.8,1.0,0.6,2.5,2.6,13.0,.422,.274,.810,travelu01
