Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
533,Trendon Watford,Projected,6.5,13.1,1.2,3.3,3.3,4.3,1.7,7.0,4.2,1.1,0.6,2.8,3.8,17.6,.497,.359,.772,watfotr01
534,Anton Watson,Projected,6.3,13.5,1.8,5.1,2.3,2.9,1.7,6.5,3.9,1.3,0.7,2.2,3.0,16.7,.470,.353,.783,watsoan02
535,Peyton Watson,Projected,4.8,10.0,1.1,3.3,2.0,2.9,1.2,5.6,2.2,1.1,2.0,1.3,2.8,12.8,.483,.346,.700,watsope01
536,Jaylen Wells,Projected,5.3,12.0,2.5,6.8,2.0,2.5,1.6,5.0,2.6,0.8,0.2,1.3,2.5,15.0,.440,.364,.824,wellsja01
537,Victor Wembanyama,Projected,9.6,19.8,2.9,8.1,4.2,5.2,2.3,12.3,4.3,1.4,4.1,3.7,2.5,26.2,.483,.355,.822,wembavi01
538,Blake Wesley,Projected,4.5,10.0,0.9,3.0,2.1,3.2,0.9,4.0,6.1,1.6,0.4,2.6,2.9,12.1,.453,.307,.665,weslebl01
539,Russell Westbrook,Projected,6.5,14.8,1.5,4.7,2.7,4.0,1.8,6.7,7.5,1.7,0.6,4.0,3.1,17.2,.441,.307,.663,westbru01
540,Phillip Wheeler,Projected,5.5,14.1,1.6,6.1,2.4,2.9,1.7,6.7,3.5,1.2,0.9,1.8,2.3,15.1,.394,.268,.812,wheelph02
541,Coby White,Projected,7.1,15.6,2.9,7.8,3.4,3.9,0.5,4.3,4.9,0.9,0.2,2.3,2.3,20.6,.457,.377,.882,whiteco01
542,Derrick White,Projected,5.8,13.1,3.3,8.6,2.0,2.4,0.9,4.8,5.1,1.0,1.2,1.8,2.2,17.0,.447,.383,.855,whitede01
543,Cam Whitmore,Projected,8.1,17.5,2.9,7.9,2.7,3.6,1.7,7.0,2.2,1.3,0.6,1.9,2.2,21.8,.464,.370,.737,whitmca01
544,Aaron Wiggins,Projected,6.9,13.6,2.4,5.9,1.6,2.0,1.7,6.0,2.8,1.3,0.4,1.5,2.3,17.7,.504,.400,.818,wiggiaa01
545,Andrew Wiggins,Projected,7.1,15.7,2.3,6.1,3.2,4.3,1.8,5.6,2.8,1.1,0.9,1.8,2.3,19.6,.450,.369,.754,wiggian01
546,Alondes Williams,Projected,6.5,13.5,2.0,5.6,2.5,3.1,1.5,6.2,3.9,1.1,0.8,2.2,2.8,17.4,.479,.364,.792,willial06
547,Brandon Williams,Projected,7.0,14.0,1.8,4.7,3.7,4.6,1.1,4.8,5.3,1.5,0.5,2.6,2.4,19.5,.499,.377,.810,willibr03
548,Cody Williams,Projected,3.4,9.3,1.3,4.7,1.2,1.6,1.0,4.3,2.3,0.9,0.6,1.5,3.1,9.3,.364,.287,.751,willico04
549,Grant Williams,Projected,4.5,9.9,2.1,5.5,2.0,2.5,1.5,5.8,2.9,0.9,0.7,1.8,3.6,13.1,.456,.377,.784,willigr01
550,Jalen Williams,Projected,8.7,17.2,1.8,4.8,3.4,4.3,0.9,5.6,5.4,1.6,0.7,2.2,2.6,22.8,.509,.386,.802,willija06
551,Jaylin Williams,Projected,4.5,10.1,2.5,6.2,1.4,1.7,1.9,10.6,4.9,1.1,1.1,1.5,3.6,12.8,.447,.397,.780,willija07
552,Jeenathan Williams,Projected,6.7,14.0,1.5,5.0,1.9,2.7,1.8,5.2,2.9,1.5,0.7,2.4,3.2,16.7,.478,.305,.689,willije02
553,Kenrich Williams,Projected,5.2,11.0,2.0,5.2,0.8,1.2,2.1,7.4,3.2,1.3,0.4,1.3,3.5,13.3,.478,.383,.681,willike04
554,Mark Williams,Projected,7.9,13.1,0.2,0.6,3.7,4.8,4.1,13.1,3.0,1.1,1.6,2.0,3.2,19.8,.606,.320,.787,willima07
555,Patrick Williams,Projected,4.9,11.5,2.1,5.5,1.5,2.0,1.2,5.5,2.6,1.2,0.9,1.8,2.2,13.4,.428,.376,.764,willipa01
556,Robert Williams,Projected,5.5,9.1,0.5,1.4,1.7,2.2,3.3,10.9,2.5,1.3,2.4,1.8,3.2,13.2,.600,.355,.793,williro04
557,Vince Williams Jr.,Projected,4.7,10.9,2.0,5.9,2.2,2.7,1.6,7.2,4.2,1.1,0.7,2.3,3.2,13.6,.436,.334,.800,willivi01
558,Ziaire Williams,Projected,5.2,12.4,2.3,6.8,2.3,2.8,1.4,6.6,2.3,1.4,0.6,1.8,3.3,15.1,.421,.339,.823,willizi02
559,Zion Williamson,Projected,10.8,18.8,0.3,0.8,5.9,8.6,2.5,7.7,6.0,1.4,0.9,3.3,2.9,27.8,.572,.330,.690,willizi01
560,Jalen Wilson,Projected,4.5,10.9,2.1,6.0,2.4,2.9,1.5,5.3,2.7,0.7,0.2,1.4,2.8,13.5,.412,.343,.821,wilsoja03
561,James Wiseman,Projected,6.6,11.5,0.4,1.2,2.6,3.6,3.2,10.3,2.1,0.5,1.2,2.1,4.2,16.3,.577,.329,.733,wisemja01
562,Isaiah Wong,Projected,5.9,13.9,1.9,4.9,3.1,4.1,1.8,5.2,3.9,1.4,0.3,2.3,2.8,16.8,.424,.381,.754,wongis01
563,Delon Wright,Projected,3.5,8.8,1.3,4.0,1.4,1.9,1.4,4.4,4.8,2.1,0.6,1.2,1.7,9.6,.395,.314,.740,wrighde01
564,Guerschon Yabusele,Projected,5.4,10.9,2.0,5.2,1.9,2.7,2.5,7.4,2.9,1.1,0.5,1.7,3.1,14.7,.495,.376,.727,yabusgu01
565,Jahmir Young,Projected,6.1,12.2,1.9,5.1,2.5,3.1,1.6,6.2,4.5,1.1,0.6,2.0,2.7,16.6,.498,.376,.810,youngja05
566,Trae Young,Projected,7.7,18.2,2.9,8.2,6.5,7.4,0.5,3.2,11.0,1.2,0.2,4.4,1.9,24.7,.421,.350,.871,youngtr01
567,Ivica Zubac,Projected,7.5,12.0,0.1,0.2,2.3,3.3,4.0,13.2,2.6,0.7,1.3,1.7,2.7,17.4,.626,.365,.684,zubaciv01
